feature,perm_delta_smape,blend_gain_share,perm_norm,gain_norm,combined_score,category
month_sin,0.0934764743942651,0.0040805571848646,0.0006717631978678,0.0093392203693933,0.0050054917836306,제거 후보 (낮은 중요도)
quarter,0.0,0.0041029306394384,0.0,0.0093904267643102,0.0046952133821551,제거 후보 (낮은 중요도)
woy,0.013307108537333,0.0040182736326862,9.563075461864488e-05,0.0091966712534686,0.0046461510040436,제거 후보 (낮은 중요도)
woy_sin,0.1789633822334053,0.0034814394067589,0.0012861098445294,0.0079680122957252,0.0046270610701273,제거 후보 (낮은 중요도)
cum_share_ref_season,0.463829379410754,0.002385825689439,0.0033332826167988,0.0054604679868908,0.0043968753018448,제거 후보 (낮은 중요도)
hallroom_flag,-0.2717596765018015,0.0042724848358274,-0.0019529849678369,0.0097784874954539,0.0039127512638085,제거 후보 (낮은 중요도)
roll_min_14,0.2978985134409413,0.001955357615437,0.0021408301856264,0.0044752505219807,0.0033080403538035,제거 후보 (낮은 중요도)
is_drink,0.2853607347963134,0.0018420420262409,0.002050728175136,0.0042159037683767,0.0031333159717564,제거 후보 (낮은 중요도)
roll_min_7,0.1647572928848149,0.0022134261299736,0.0011840186170644,0.0050658950390086,0.0031249568280365,제거 후보 (낮은 중요도)
year,0.0,0.0020240475903554,0.0,0.0046324620947802,0.0023162310473901,제거 후보 (낮은 중요도)
roll_min_28,0.1004158164344062,0.0016390864637387,0.0007216323722263,0.0037513969283715,0.0022365146502989,제거 후보 (낮은 중요도)
month,-0.2103514598265974,0.0026034019155324,-0.0015116784222444,0.0059584373157276,0.0022233794467415,제거 후보 (낮은 중요도)
demand_stability,-0.2306170269647509,0.0024452800806877,-0.0016573157312631,0.0055965419681253,0.0019696131184311,제거 후보 (낮은 중요도)
is_set_menu,-0.1739520937336465,0.0022622074240124,-0.0012500965137972,0.0051775413741274,0.001963722430165,제거 후보 (낮은 중요도)
is_sandwich,0.0,0.0013161051299625,0.0,0.0030121856602327,0.0015060928301163,제거 후보 (낮은 중요도)
is_after_holiday,-0.8269970908338564,0.0031671409109448,-0.005943166063611,0.007248673543394,0.0006527537398915,제거 후보 (낮은 중요도)
brunch_flag,0.0459085978159237,0.0004049491771391,0.0003299194442056,0.0009268120583468,0.0006283657512762,제거 후보 (낮은 중요도)
